index,disease_name,description,Possible Steps,image_url
0,Elma : Uyuz,"Elma uyuz hastalığı, Minnesota'daki elma ve yengeç elması ağaçlarının en yaygın hastalığıdır. Uyuz, hem yaprakları hem de meyveleri enfekte eden bir mantardan kaynaklanır. Uyuzlu meyveler genellikle yenmeye uygun değildir. Enfekte olmuş yapraklarda zeytin yeşili ila kahverengi lekeler bulunur. Çok sayıda yaprak lekesi olan yapraklar sararır ve erken düşer. Yaprak dökülmesi, üst üste uzun yıllar meydana geldiğinde ağacı zayıflatır. Hastalığa dayanıklı çeşitler ekmek, uyuz hastalığıyla başa çıkmanın en iyi yoludur.","Mümkün olduğunda dirençli çeşitleri seçin. Ağaçların altını tırmıklayın ve hastalık döngüsünü gelecek baharda tekrar başlatmak için mevcut mantar sporlarının sayısını azaltmak için enfekte olmuş yaprakları yok edin. Enfeksiyon oluşmadan önce yaprakların kuruması için zaman vermek için akşam veya sabahın erken saatlerinde sulayın (üstten sulamadan kaçının). Toprağı örtmek ve mantar sporlarının sıçrama yoluyla dağılmasını önlemek için ağaçların altına 3 ila 6 inçlik bir kompost tabakası yayın, gövdeden uzak tutun. En iyi kontrol için, sıvı bakır sabunu erken, semptomlar normalde ortaya çıkmadan iki hafta önce püskürtün. Alternatif olarak, hastalık ilk ortaya çıktığında uygulamalara başlayın ve çiçek düşene kadar 7 ila 10 günlük aralıklarla tekrarlayın.",https://extension.umn.edu/sites/extension.umn.edu/files/apple-scab-1.jpg
1,Elma : Siyah Çürüklük,"Yaprak belirtileri ilk olarak ilkbaharın başlarında yapraklar açıldığında ortaya çıkar. Yaprakların üst yüzeyinde küçük, mor lekeler olarak belirir ve çapı 1/8 ila 1/4 inç (3-6 mm) olan dairesel lezyonlara dönüşür. Lezyonların kenarları mor kalırken, ortası ten renginden kahverengiye döner. Birkaç hafta içinde, bu yaprak lekelerinin ikincil büyümesi meydana gelir. Ağır enfekte olmuş yapraklar klorotik hale gelir ve yaprak dökülmesi meydana gelir. Çürümüş alan genişledikçe, siyahtan kahverengiye değişen renkte, tekdüze genişlikte bir dizi eşmerkezli bant oluşur. Çürümüş alanın eti sıkı ve kösele kalır. Enfekte meyvenin yüzeyinde genellikle siyah piknidyumlar görülür.","En az 15 inç uçtan budayarak kanserleri çıkarın ve yakın veya gömün. Ayrıca yeni sezon budamalarında önleyici bakım yapın ve bunları da yakın. Uykuda sezonda budama yapmak daha iyidir. Bu, yangın yanıklığının ağacınızı enfekte etme ve Botryosphaeria tarafından kolayca enfekte edilebilen ölü doku üretme olasılığını en aza indirecektir. Ayrıca, kabuk dolu nedeniyle hasar görürse veya dallar bir fırtına sırasında kırılırsa önlemler almalısınız. Bakır bazlı bir mantar ilacı kullanmak hem siyah çürümeye hem de yangın yanıklığına karşı koruma sağlayacaktır.",http://www.omafra.gov.on.ca/english/crops/facts/blackrotf1.jpg
2,Elma : Sedir pası,"Sedir elma pası (Gymnosporangium juniperi-virginianae), ardıç bitkilerinin karmaşık iki yıllık yaşam döngüsünü tamamlamasını gerektiren bir mantar hastalığıdır. Sporlar, çeşitli ardıç türlerinin genç dallarında kırmızımsı kahverengi bir gal olarak kışlar. İlkbaharın başlarında, yağışlı havalarda, bu galler şişer ve parlak turuncu spor kütleleri rüzgarla savrularak hassas elma ve yengeç elması ağaçlarını enfekte eder. Bu ağaçlarda gelişen sporlar, yalnızca ertesi yıl ardıçları enfekte eder. Hastalık yıldan yıla ardıçlardan elmalara ve tekrar ardıçlara geçmelidir; elma ağaçları arasında yayılamaz.","Mümkün olduğunda dirençli çeşitleri seçin. Ağaçların altından düşen yaprakları ve diğer döküntüleri toplayın ve atın. Enfekte ardıçlardan safraları temizleyin. Bazı durumlarda ardıç bitkileri tamamen çıkarılmalıdır. Elmalarda kullanılmak üzere etiketlenmiş önleyici, hastalıkla savaşan mantar ilaçlarını, ardıç konukçusu tarafından salınan sporlardan ağaçları korumak için tomurcuk patlamasıyla başlayarak haftada bir uygulayın. Bu yılda yalnızca bir kez gerçekleşir, bu nedenle bu ilkbahar yayılmasından sonra ek uygulamalar gerekli değildir. Ardıçta pas, Ağustos sonu ile Ekim sonu arasında en az dört kez bitkilere bakır çözeltisi (galon başına 0,5 ila 2,0 oz) püskürtülerek kontrol edilebilir. Çoğu mantar ve bakteri hastalığını SERENADE Garden ile güvenli bir şekilde tedavi edin. Bu geniş spektrumlu biyo-mantar ilacı, organik kullanım için kayıtlı patentli bir Bacillus subtilis türü kullanır. En iyisi, SERENADE bal arıları ve faydalı böcekler için tamamen toksik değildir.",https://www.google.com/imgres?q=KATYAYANI%20ORGAN%C4%B0K%20FUNG%C4%B0S%C4%B0T%20Katyayani%20Organik&imgurl=https%3A%2F%2Fwww.katyayaniorganics.com%2Fwp-content%2Fuploads%2F2022%2F06%2F400gm_13.jpg&imgrefurl=https%3A%2F%2Fwww.katyayaniorganics.com%2Fproduct%2Fall-in-1-organic-fungicide%2F&docid=ojrplwAg-kOwzM&tbnid=uEplFe7DyWr79M&vet=12ahUKEwij0bzxvo6MAxXmS_EDHYt8ARcQM3oECEYQAA..i&w=1200&h=1200&hcb=2&ved=2ahUKEwij0bzxvo6MAxXmS_EDHYt8ARcQM3oECEYQAA
3,Elma : Sağlıklı,"Çoğu meyve gibi elmalar da tam güneşte yetiştirildiğinde en iyi verimi verir, bu da günde altı veya daha fazla saat doğrudan yaz güneşi anlamına gelir. Elmalar için en iyi maruz kalma, güneyden ziyade bir evin, ağaç sınırının veya yükseltinin kuzey tarafıdır. Elma ağaçları iyi drene edilmiş toprağa ihtiyaç duyar, ancak bir miktar nemi tutabilmelidir.",Elmalar Besleyicidir. Elmalar Kilo Vermek İçin İyi Olabilir. Elmalar Kalbiniz İçin İyi Olabilir. Diyabet Riskinin Daha Düşük Olması ile Bağlantılıdır. Prebiyotik Etkileri Olabilir ve İyi Bağırsak Bakterilerini Destekleyebilir. Elmalardaki Maddeler Kanseri Önlemeye Yardımcı Olabilir.,https://previews.123rf.com/images/msnobody/msnobody1508/msnobody150800002/43698436-güneşli bir günde-organik-tarım-taze-sağlıklı-doğada-elma ağacının-dalında-kırmızı-elma.jpg
4,Yapraksız Arka Plan,Verilen resimde yaprak yok,Lütfen yapraklı resmi tekrar yükleyin,https://cdn.onlinewebfonts.com/svg/img_332817.png
5,Yaban Mersini : Sağlıklı,"Yaban mersini kalorisi düşük ama besin değeri yüksektir. ... Yaban mersini antioksidan gıdaların kralıdır. ... Yaban mersini DNA hasarını azaltır, bu da yaşlanmaya ve kansere karşı korumaya yardımcı olabilir. ... Yaban mersini kanınızdaki kolesterolün hasar görmesini önler. ... Yaban mersini kan basıncını düşürebilir.","Turba yosunu, çam iğneleri veya iyi yaşlandırılmış talaş gibi derin, düşük pH'lı malç suyu korur ve toprak su dalgalanmalarını en aza indirir. Yaban mersini bitkilerini gün içinde sulayın. Toprağı nemli tutun ancak ıslak değil. Büyüme mevsimi boyunca haftada en az 1 inç ve meyve olgunlaşması sırasında haftada 4 inçe kadar su verin. Yaban mersini sığ köklü bir bitkidir. Bu nedenle, nemi tutan, aynı zamanda iyi drene olan ve ıslak kalmayan bir toprağa ihtiyaç duyar. Yaban mersinlerini ıslak kalan ağır, killi topraklara sahip yerlere dikmeyin.",https://image.shutterstock.com/image-photo/blueberry-leaf-collection-isolated-on-260nw-308491814.jpg
6,Kiraz : Toz halinde küf,"İlk belirtiler, genellikle ilk sulamanın başlamasından 7 ila 10 gün sonra ortaya çıkar ve genç, hassas yapraklarda (yeni açılmış ve açık yeşil genişleyen yapraklar) hafif, kabaca dairesel, tozlu görünümlü lekelerdir. Daha yaşlı yapraklar küllemeye karşı yaşa bağlı (ontojenik) bir direnç geliştirir ve doğal olarak genç yapraklardan enfeksiyona daha dirençlidir. Nemin yüksek olduğu kök sürgünlerinde, gölgeliğin iç kısmında veya ağacın çatalında erken yaprak enfeksiyonları arayın. Diğer mantarların aksine, küllemeler çimlenmek için serbest suya ihtiyaç duymazlar ancak çimlenme ve mantar büyümesi yüksek nem tarafından desteklenir. Hastalığın yaprakların alt taraflarında (abaksiyel) başlaması daha olasıdır ancak daha sonraki aşamalarda her iki tarafta da ortaya çıkar. Mevsim ilerledikçe ve enfeksiyon rüzgarla yayıldıkça, yapraklar bozulabilir ve yukarı doğru kıvrılabilir. Şiddetli enfeksiyonlar yaprakların buruşmasına ve bükülmesine neden olabilir. Yeni sürgünlerde yeni gelişen yapraklar giderek daha küçük hale gelir, genellikle soluktur ve bozulmuş olabilir.","Kesme kenarlarını dezenfekte edin, ardından bitkinin hastalıklı kısımlarını hemen budayın ve atın. Aynı zamanda, meyve ağacındaki kalan yaprakları korumak için mantar öldürücüler uygulayın. Ağaçları tüm sezon boyunca korumak için mantar öldürücü uygulamalarını etiket talimatlarına göre tekrarlamanız gerekecektir.",http://treefruit.wsu.edu/wp-content/uploads/2017/05/Fig1.png
7,Kiraz : Sağlıklı,"Ekşi ve tatlı kirazlar arasında bakımda hiçbir fark yoktur. Nemi korumak için malç uygulayın. Meyveleri kuşlardan korumak için ağaçların üzerine file örtün. Kuru alanlarda düzenli olarak sulayın. Kiraz ağaçları için meyveleri seyreltmek gerekli değildir, çünkü genellikle yaz başında doğal olarak seyrelirler.",Besinlerle doludur. Antioksidanlar ve iltihap giderici bileşikler açısından zengindir. Egzersiz sonrası iyileşmeyi hızlandırabilir. Kalp sağlığına fayda sağlayabilir. Artrit ve gut semptomlarını iyileştirebilir. Uyku kalitesini iyileştirebilir. Diyetinize eklemek kolaydır.,https://previews.123rf.com/images/annafrby/annafrby1907/annafrby190700078/127086189-dalda-kiraz-yeşilyaprak-sağlıklı-yiyecek-taze-meyve-iki-olgun-meyveler-l.jpg
8,Mısır : Cercospora Yaprak Lekesi | Gri Yaprak Lekesi,"Mısırda Cercospora zeae-maydis mantarının neden olduğu gri yaprak lekesi, Amerika Birleşik Devletleri'nde çok yıllık ve ekonomik olarak zararlı bir hastalıktır. 1990'ların ortalarından bu yana, hastalığın Indiana'da önemi artmıştır ve artık eyaletteki mısırın en önemli yaprak hastalıklarından biridir. Gri yaprak lekesi hastalığı, Magnaporthe grisea olarak da bilinen Pyricularia grisea mantarının neden olduğu bir hastalıktır. Florida'da yaygın olan sık sıcak yağmurlu dönemler, bu mantar hastalığı için elverişli koşullar yaratır. Bu mantar büyümeyi yavaşlatır, yerleşik standları inceltir ve St.",Derinlemesine ama seyrek olarak sulayın. Hastalık aktifken çimlerde çıkış sonrası yabani ot öldürücüler kullanmaktan kaçının. Orta ila yüksek nitrojen gübre seviyelerinden kaçının. Çimlerde hava sirkülasyonunu ve ışık seviyesini iyileştirin. Uygun yükseklikte biçin ve yalnızca çim kuruduğunda biçin.,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Gray_leaf_spot_Cercospora_zeae-maydis_5465607.png/330px-Gray_leaf_spot_Cercospora_zeae-maydis_5465607.png
9,Mısır : Yaygın Pas,"Mısır tarlalarında büyüme mevsimi boyunca her zaman birkaç pas püstülü bulunabilse de, belirtiler genellikle püsküllenmeden sonra ortaya çıkar. Bunlar, mısır yapraklarının hem üst hem de alt yüzeylerine dağılmış koyu, kırmızımsı kahverengi püstüllerin (uredinia) gelişmesiyle diğer hastalıklardan kolayca tanınabilir ve ayırt edilebilir. Bu püstüller bitkinin toprak üstündeki herhangi bir yerinde ortaya çıkabilir, ancak yapraklarda en bol miktarda bulunur. Püstüller oval ila uzunlamasına görünür, genellikle küçüktür, 1/4 inçten daha kısadır ve yaprak epidermal tabakası tarafından delinmiş halde çevrelenmiştir.","Mısır pası vakalarını azaltmak için yalnızca mantara karşı direnci olan mısır ekin. Direnç, ırka özgü direnç veya kısmi pas direnci şeklindedir. Her iki durumda da hiçbir tatlı mısır tamamen dirençli değildir. Mısır enfeksiyon belirtileri göstermeye başlarsa, hemen bir mantar ilacı püskürtün.",https://ohioline.osu.edu/sites/ohioline/files/imce/Plant_Pathology/PLNTPTH-CER-02_Figür_1.png
